persistent		Frequency		Percent
----------------------------------------------------------------------------------------------------
persistent		response
0		0		884		1.00
0		1		0		0.00
1		0		0		0.00
1		1		3545		1.00

persist_days		Frequency		Percent
----------------------------------------------------------------------------------------------------
persist_days		response
1		0		3		1.00
1		1		0		0.00
2		0		3		1.00
2		1		0		0.00
3		0		2		1.00
3		1		0		0.00
4		0		1		1.00
4		1		0		0.00
5		0		1		1.00
5		1		0		0.00
6		0		3		1.00
6		1		0		0.00
7		0		1		1.00
7		1		0		0.00
9		0		1		1.00
9		1		0		0.00
10		0		2		1.00
10		1		0		0.00
12		0		2		1.00
12		1		0		0.00
14		0		3		1.00
14		1		0		0.00
15		0		2		1.00
15		1		0		0.00
16		0		1		1.00
16		1		0		0.00
17		0		3		1.00
17		1		0		0.00
18		0		1		1.00
18		1		0		0.00
20		0		4		1.00
20		1		0		0.00
21		0		6		1.00
21		1		0		0.00
22		0		3		1.00
22		1		0		0.00
23		0		1		1.00
23		1		0		0.00
24		0		1		1.00
24		1		0		0.00
25		0		2		1.00
25		1		0		0.00
26		0		1		1.00
26		1		0		0.00
27		0		3		1.00
27		1		0		0.00
28		0		136		1.00
28		1		0		0.00
29		0		2		1.00
29		1		0		0.00
30		0		228		1.00
30		1		0		0.00
31		0		4		1.00
31		1		0		0.00
33		0		1		1.00
33		1		0		0.00
34		0		3		1.00
34		1		0		0.00
35		0		4		1.00
35		1		0		0.00
36		0		3		1.00
36		1		0		0.00
37		0		1		1.00
37		1		0		0.00
38		0		2		1.00
38		1		0		0.00
39		0		2		1.00
39		1		0		0.00
40		0		3		1.00
40		1		0		0.00
42		0		1		1.00
42		1		0		0.00
43		0		4		1.00
43		1		0		0.00
44		0		1		1.00
44		1		0		0.00
45		0		2		1.00
45		1		0		0.00
46		0		2		1.00
46		1		0		0.00
47		0		5		1.00
47		1		0		0.00
48		0		3		1.00
48		1		0		0.00
49		0		2		1.00
49		1		0		0.00
50		0		5		1.00
50		1		0		0.00
51		0		3		1.00
51		1		0		0.00
52		0		8		1.00
52		1		0		0.00
53		0		11		1.00
53		1		0		0.00
54		0		6		1.00
54		1		0		0.00
55		0		9		1.00
55		1		0		0.00
56		0		13		1.00
56		1		0		0.00
57		0		4		1.00
57		1		0		0.00
58		0		15		1.00
58		1		0		0.00
59		0		6		1.00
59		1		0		0.00
60		0		5		1.00
60		1		0		0.00
61		0		2		1.00
61		1		0		0.00
62		0		11		1.00
62		1		0		0.00
63		0		8		1.00
63		1		0		0.00
64		0		1		1.00
64		1		0		0.00
66		0		4		1.00
66		1		0		0.00
67		0		2		1.00
67		1		0		0.00
69		0		3		1.00
69		1		0		0.00
70		0		2		1.00
70		1		0		0.00
71		0		2		1.00
71		1		0		0.00
72		0		6		1.00
72		1		0		0.00
73		0		2		1.00
73		1		0		0.00
74		0		2		1.00
74		1		0		0.00
75		0		4		1.00
75		1		0		0.00
76		0		7		1.00
76		1		0		0.00
77		0		3		1.00
77		1		0		0.00
78		0		4		1.00
78		1		0		0.00
79		0		4		1.00
79		1		0		0.00
80		0		5		1.00
80		1		0		0.00
81		0		7		1.00
81		1		0		0.00
82		0		5		1.00
82		1		0		0.00
83		0		7		1.00
83		1		0		0.00
84		0		36		1.00
84		1		0		0.00
85		0		3		1.00
85		1		0		0.00
86		0		9		1.00
86		1		0		0.00
87		0		7		1.00
87		1		0		0.00
88		0		5		1.00
88		1		0		0.00
89		0		5		1.00
89		1		0		0.00
90		0		29		1.00
90		1		0		0.00
91		0		5		1.00
91		1		0		0.00
92		0		3		1.00
92		1		0		0.00
93		0		4		1.00
93		1		0		0.00
94		0		5		1.00
94		1		0		0.00
95		0		5		1.00
95		1		0		0.00
96		0		2		1.00
96		1		0		0.00
97		0		4		1.00
97		1		0		0.00
98		0		2		1.00
98		1		0		0.00
99		0		7		1.00
99		1		0		0.00
100		0		1		1.00
100		1		0		0.00
101		0		3		1.00
101		1		0		0.00
102		0		2		1.00
102		1		0		0.00
103		0		1		1.00
103		1		0		0.00
104		0		4		1.00
104		1		0		0.00
105		0		2		1.00
105		1		0		0.00
106		0		4		1.00
106		1		0		0.00
107		0		2		1.00
107		1		0		0.00
108		0		6		1.00
108		1		0		0.00
109		0		2		1.00
109		1		0		0.00
110		0		3		1.00
110		1		0		0.00
111		0		7		1.00
111		1		0		0.00
112		0		7		1.00
112		1		0		0.00
113		0		6		1.00
113		1		0		0.00
114		0		8		1.00
114		1		0		0.00
115		0		4		1.00
115		1		0		0.00
116		0		6		1.00
116		1		0		0.00
117		0		3		1.00
117		1		0		0.00
118		0		8		1.00
118		1		0		0.00
